subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
rbd3,107,rms,phasic,4407.0,4422.0,15.0,0.0,4407.0,4422.0,4407.0,4422.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,107,tkeo,phasic,4407.0,4422.0,15.0,0.0,4407.0,4422.0,4407.0,4422.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,108,rms,phasic,4464.0,4473.0,9.0,0.0,4464.0,4473.0,4464.0,4473.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,108,tkeo,phasic,4464.0,4473.0,9.0,0.0,4464.0,4473.0,4464.0,4473.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,109,rms,phasic,4518.0,4530.0,12.0,0.0,4518.0,4530.0,4518.0,4530.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,109,tkeo,phasic,4518.0,4530.0,12.0,0.0,4518.0,4530.0,4518.0,4530.0,12.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,110,rms,phasic,4533.0,4542.0,9.0,0.0,4533.0,4542.0,4533.0,4542.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,110,tkeo,phasic,4533.0,4542.0,9.0,0.0,4533.0,4542.0,4533.0,4542.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,111,rms,phasic,4575.0,4584.0,9.0,0.0,4575.0,4584.0,4575.0,4584.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,111,tkeo,phasic,4575.0,4584.0,9.0,0.0,4575.0,4584.0,4575.0,4584.0,9.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,112,rms,phasic,4629.0,4638.0,9.0,0.0,4629.0,4638.0,4629.0,4638.0,9.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,112,tkeo,phasic,4629.0,4638.0,9.0,0.0,4629.0,4638.0,4629.0,4638.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,113,rms,phasic,4644.0,4653.0,9.0,0.0,4644.0,4653.0,4644.0,4653.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,113,tkeo,phasic,4644.0,4653.0,9.0,0.0,4644.0,4653.0,4644.0,4653.0,9.0,False,False,1,1,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,114,rms,phasic,4758.0,4806.0,48.0,0.0,4758.0,4806.0,4758.0,4806.0,48.0,False,False,6,5,1,0,phasic|tonic,same_type_detected,True,True,False,False,False
rbd3,114,tkeo,phasic,4758.0,4806.0,48.0,0.0,4758.0,4806.0,4758.0,4806.0,48.0,False,False,3,1,1,1,any|phasic|tonic,same_type_detected,True,True,False,False,False
rbd3,115,rms,phasic,4818.0,4836.0,18.0,0.0,4818.0,4836.0,4818.0,4836.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,115,tkeo,phasic,4818.0,4836.0,18.0,0.0,4818.0,4836.0,4818.0,4836.0,18.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,116,rms,phasic,4854.0,4869.0,15.0,0.0,4854.0,4869.0,4854.0,4869.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,116,tkeo,phasic,4854.0,4869.0,15.0,0.0,4854.0,4869.0,4854.0,4869.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
